Which language is primarily used for Android development?|Python,Java,C++,Swift|1
What does HTML stand for?|High Tech Modern Language,Hyperlink Text Markup Language,HyperText Markup Language,Home Tool Markup Language|2
Which data structure uses LIFO (Last In First Out)?|Queue,Array,Stack,Linked List|2
Who is known as the father of Computers?|Alan Turing,Charles Babbage,Ada Lovelace,Bill Gates|1
What is the time complexity of a Binary Search?|O(n),O(n log n),O(log n),O(1)|2
Which of these is NOT a reserved keyword in Java?|volatile,strictfp,goto,main|3
What is the brain of the computer?|RAM,CPU,GPU,Hard Drive|1
Which protocol is used for secure web browsing?|HTTP,FTP,HTTPS,SMTP|2
In Git, which command saves changes locally?|push,commit,pull,fetch|1
What is the purpose of a 'Constructor' in Java?|To destroy objects,To initialize objects,To create loops,To import packages|1
